TIMESTAMP,RECORD,Measure_1,Measure_2,Measure_3,Measure_4
2025-02-11 21:50:00,94796,-3.508414,-3.503873,7.999473,7.903319
2025-02-11 21:55:00,94797,-3.504273,-3.502938,8.028453,7.889831
2025-02-11 22:00:00,94798,-3.508948,-3.502671,8.026717,7.903052
2025-02-11 22:05:00,94799,-3.500534,-3.50227,8.028853,7.90145
2025-02-11 22:10:00,94800,-3.504273,-3.501202,8.027918,7.90145
2025-02-11 22:15:00,94801,-3.502938,-3.500267,8.023911,7.899179
2025-02-11 22:20:00,94802,-3.502938,-3.503072,8.028987,7.898511
2025-02-11 22:25:00,94803,-3.504273,-3.501202,8.021775,7.900516
2025-02-11 22:30:00,94804,-3.502938,-3.501736,8.02685,7.89878
2025-02-11 22:35:00,94805,-3.503606,-3.500534,8.024046,7.897443
2025-02-11 22:40:00,94806,-3.503606,-3.503205,8.025515,7.890099
2025-02-11 22:45:00,94807,-3.50187,-3.5,8.022843,7.895306
2025-02-11 22:50:00,94808,-3.504407,-3.500534,8.023111,7.89397
2025-02-11 22:55:00,94809,-3.501603,-3.501736,8.01363,7.893703
2025-02-11 23:00:00,94810,-3.503606,-3.501202,8.020574,7.909596
2025-02-11 23:05:00,94811,-3.502537,-3.501469,8.021241,7.891967
2025-02-11 23:10:00,94812,-3.504273,-3.502404,8.021375,7.899045
2025-02-11 23:15:00,94813,-3.503739,-3.501202,8.014564,7.895573
2025-02-11 23:20:00,94814,-3.50414,-3.502671,8.018037,7.895706
2025-02-11 23:25:00,94815,-3.5,-3.500668,8.015766,7.894105
2025-02-11 23:30:00,94816,-3.502805,-3.503205,8.015766,7.893303
2025-02-11 23:35:00,94817,-3.501202,-3.501202,8.016969,7.890632
2025-02-11 23:40:00,94818,-3.504273,-3.502537,8.017369,7.892502
2025-02-11 23:45:00,94819,-3.50227,-3.499199,8.015766,7.894638
2025-02-11 23:50:00,94820,-3.502404,-3.500668,8.021775,7.888095
2025-02-11 23:55:00,94821,-3.501736,-3.499199,8.014831,7.889029
2025-02-12 00:00:00,94822,-3.502938,-3.501736,8.012295,7.880082
2025-02-12 00:05:00,94823,-3.501736,-3.501202,8.014965,7.890365
2025-02-12 00:10:00,94824,-3.503072,-3.508814,8.011893,7.888896
2025-02-12 00:15:00,94825,-3.500935,-3.502003,8.008689,7.887427
2025-02-12 00:20:00,94826,-3.502938,-3.501202,8.011092,7.889697
2025-02-12 00:25:00,94827,-3.502404,-3.504006,8.009088,7.885824
2025-02-12 00:30:00,94828,-3.50227,-3.502137,8.013363,7.888095
2025-02-12 00:35:00,94829,-3.501068,-3.499866,8.006149,7.885557
2025-02-12 00:40:00,94830,-3.502938,-3.501736,8.010692,7.88716
2025-02-12 00:45:00,94831,-3.502938,-3.503205,8.009488,7.885824
2025-02-12 00:50:00,94832,-3.501068,-3.502404,8.008956,7.885157
2025-02-12 00:55:00,94833,-3.502537,-3.501068,8.011626,7.883421
2025-02-12 01:00:00,94834,-3.510951,-3.503606,8.012027,7.885022
2025-02-12 01:05:00,94835,-3.501736,-3.501068,8.008288,7.883154
2025-02-12 01:10:00,94836,-3.510951,-3.502537,8.010156,7.888495
2025-02-12 01:15:00,94837,-3.499866,-3.502404,8.008288,7.883421
2025-02-12 01:20:00,94838,-3.502938,-3.503739,8.007886,7.881551
2025-02-12 01:25:00,94839,-3.503739,-3.49813,8.010425,7.885425
2025-02-12 01:30:00,94840,-3.502938,-3.502404,8.005349,7.877678
2025-02-12 01:35:00,94841,-3.500935,-3.502003,8.006284,7.880616
2025-02-12 01:40:00,94842,-3.502003,-3.501202,8.008689,7.881284
2025-02-12 01:45:00,94843,-3.504674,-3.504541,7.978908,7.879415
